Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_length,Min_pkts_length,Max_pkts_lenght,StDev_pkts_lenght,Label
0.000125,1.25E-05,0,0.000125,4.17E-05,1445.4,1008,1494,153.6866943,targetOne
0.00015,1.50E-05,0,0.00015,5.00E-05,1404.4,598,1494,283.3400784,targetOne
0.00421,0.000421,0,0.003305,0.001094039,874.2,60,1494,675.3300099,targetOne
0.003275,0.0003275,0,0.001006,0.000377987,60,60,60,0,targetOne
0.002161,0.0002161,0,0.000954,0.000375412,60,60,60,0,targetOne
4.12106,0.412106,0,2.149218,0.74169098,174.8,54,373,118.0111106,targetOne
8.946175,0.8946175,0.000773,3.002513,1.338522241,319.7,168,496,129.2173449,targetOne
1.153984,0.1153984,0.000683,1.047046,0.346054551,464.4,434,496,23.33428569,targetOne
4.697433,0.4697433,0.000747,3.743211,1.247556468,422.8,179,496,92.27591476,targetOne
0.86561,0.086561,0.00015,0.759348,0.250722644,448.5,74,1292,340.5620355,targetOne
0.016089,0.0016089,0,0.0084,0.003359757,372.3,69,1292,427.9423767,targetOne
0.031739,0.0031739,5.50E-05,0.011642,0.004757095,231.7,69,852,263.6019938,targetOne
0.01142,0.001142,4.60E-05,0.006061,0.001831777,476.3,77,1288,326.1141756,targetOne
0.000735,7.35E-05,0,0.000494,0.000159718,821,75,1292,608.7468001,targetOne
0.00074,7.40E-05,0,0.000556,0.000178514,805.2,75,1292,628.4560976,targetOne
0.001443,0.0001443,0,0.001245,0.000407523,926.9,75,1292,587.86685,targetOne
0.000353,3.53E-05,0,0.000183,5.87E-05,926.9,75,1292,587.86685,targetOne
0.001443,0.0001443,0,0.00069,0.000264403,805.2,75,1292,628.4560976,targetOne
0.084552,0.0084552,0.000112,0.046733,0.016186109,400.1,67,1292,376.2152014,targetOne
1.036127,0.1036127,0.000163,1.02748,0.342135622,537.7,75,1292,428.7387316,targetOne
0.01305,0.001305,0,0.007045,0.002689689,315.2,67,1292,414.269853,targetOne
0.056026,0.0056026,0,0.0363,0.012192078,730.7,67,1292,607.489561,targetOne
0.00206,0.000206,0,0.001495,0.000483495,818.9,75,1292,612.0485547,targetOne
0.000632,6.32E-05,0,0.00031,0.0001053,580,75,1292,546.7764117,targetOne
0.00134,0.000134,0,0.000762,0.000256545,446.1,75,1292,516.3348289,targetOne
0.003646,0.0003646,0,0.001809,0.000720126,953.7,75,1292,548.2418465,targetOne
0.023227,0.0023227,0,0.00782,0.003269643,555.3,75,1292,555.7367582,targetOne
0.011412,0.0011412,0,0.00391,0.001406372,396.6,69,1292,499.7697692,targetOne
0.021338,0.0021338,0,0.005489,0.002369526,264.4,69,1292,383.780377,targetOne
0.003227,0.0003227,0,0.001537,0.000529179,438.1,68,1292,502.1680662,targetOne
0.637407,0.0637407,0.000179,0.201388,0.086022842,104.4,68,297,74.1143261,targetOne
0.006523,0.0006523,0,0.00462,0.001475671,93,68,146,35.74290916,targetOne
0.000662,6.62E-05,0,0.000301,0.000100745,85.4,68,175,31.5988748,targetOne
0.087735,0.0087735,0,0.026347,0.011079419,437.5,68,1292,587.8375153,targetOne
0.000281,2.81E-05,0,8.00E-05,3.18E-05,805.5,75,1292,628.0693964,targetOne
0.315232,0.0315232,0,0.200862,0.065083545,419.9,68,1292,518.8250508,targetOne
0.003214,0.0003214,0,0.001624,0.000524349,909.6,75,1292,578.1747525,targetOne
0.000709,7.09E-05,0,0.000449,0.000143273,822,75,1292,554.1365656,targetOne
0.00149,0.000149,0,0.000812,0.000270342,678.8,75,1292,603.8544343,targetOne
0.002673,0.0002673,0,0.001134,0.000427363,769.3,75,1292,558.3412039,targetOne
0.003473,0.0003473,0,0.001059,0.00036708,863,75,1292,570.4804992,targetOne
0.003994,0.0003994,0,0.002329,0.000770742,858.3,75,1292,512.2920283,targetOne
0.00628,0.000628,0,0.00306,0.001058008,759.6,70,1292,577.7310408,targetOne
0.06119,0.006119,0.000168,0.025592,0.007612293,259,70,1288,376.0245264,targetOne
0.030451,0.0030451,0,0.017203,0.005496449,589.6,70,1292,572.6389594,targetOne
0.000866,8.66E-05,0,0.000453,0.000142564,588.6,75,1292,606.5665119,targetOne
0.000407,4.07E-05,0,0.000266,8.60E-05,805.2,75,1292,628.4560976,targetOne
0.002021,0.0002021,0,0.000968,0.000373447,926.2,68,1292,588.9970383,targetOne
0.000696,6.96E-05,0,0.000523,0.000168392,805.2,75,1292,628.4560976,targetOne
0.000697,6.97E-05,0,0.000487,0.000155787,1048.6,75,1292,513.132255,targetOne
0.1652,0.01652,4.20E-05,0.089213,0.030338722,317.3,68,1288,414.2237855,targetOne
0.038759,0.0038759,0,0.029031,0.009570385,682.3,68,1292,641.8469963,targetOne
0.000886,8.86E-05,0,0.000442,0.000144643,1021,75,1292,468.7866134,targetOne
0.000543,5.43E-05,0,0.000445,0.000144866,1169.8,75,1292,384.6767185,targetOne
0.000114,1.14E-05,0,0.000114,3.80E-05,1170.3,75,1292,384.8491912,targetOne
0.000286,2.86E-05,0,8.90E-05,2.99E-05,1140.9,75,1292,385.7478883,targetOne
0.001494,0.0001494,0,0.00121,0.000393168,1169.6,75,1292,384.6095278,targetOne
0.011355,0.0011355,0,0.00599,0.002100867,726.3,75,1292,602.2424853,targetOne
0.003466,0.0003466,0,0.002673,0.000892941,1170.3,75,1292,384.8491912,targetOne
0.393888,0.0393888,0,0.379265,0.125829614,536,75,1292,538.6683168,targetOne
0.031642,0.0031642,0,0.025431,0.008302532,199.4,77,870,246.1436798,targetOne
0.045402,0.0045402,0,0.042225,0.013956563,700.8,76,1274,608.1967518,targetOne
0.025562,0.0025562,0,0.022319,0.007365818,673.3,76,1274,626.533328,targetOne
0.002881,0.0002881,0,0.002006,0.000644273,825,76,1274,586.1757416,targetOne
0.000767,7.67E-05,0,0.000462,0.000143414,914.6,76,1274,578.6889781,targetOne
0.001389,0.0001389,0,0.001122,0.000363477,914.6,76,1274,578.6889781,targetOne
0.001987,0.0001987,4.00E-06,0.001102,0.00039356,794.8,76,1274,618.6445398,targetOne
0.001769,0.0001769,0,0.000861,0.000310956,915.1,76,1274,577.8855038,targetOne
0.018034,0.0018034,0,0.013072,0.004305063,709.8,76,1274,602.8402774,targetOne
0.000786,7.86E-05,0,0.0006,0.0001929,615.6,76,1274,563.3130568,targetOne
0.005368,0.0005368,0,0.003859,0.001292969,729,76,1274,587.738604,targetOne
0.006283,0.0006283,0,0.003833,0.001385233,809,76,1274,601.7103401,targetOne
0.001854,0.0001854,0,0.001156,0.000374529,692.4,76,1274,615.2512043,targetOne
0.004218,0.0004218,0,0.002059,0.000703133,707.1,76,1274,600.713363,targetOne
0.024489,0.0024489,0,0.015117,0.005300171,764.2,76,1274,597.3001851,targetOne
0.109559,0.0109559,0,0.106599,0.035415036,961,77,1274,519.361146,targetOne
0.123708,0.0123708,0,0.067155,0.021789513,693.9,75,1274,602.3667119,targetOne
0.047581,0.0047581,0,0.04226,0.013883149,886.1,77,1274,563.7496391,targetOne
0.01988,0.001988,0,0.007738,0.002715552,611.4,77,1292,553.1112406,targetOne
0.006911,0.0006911,0,0.003506,0.001091984,372.8,77,1274,484.0433406,targetOne
0.007982,0.0007982,0,0.005245,0.001708192,738.2,76,1274,572.0391983,targetOne
0.000278,2.78E-05,0,7.40E-05,2.11E-05,1034.4,76,1274,505.1211516,targetOne
0.000905,9.05E-05,0,0.000675,0.000216911,1274,1274,1274,0,targetOne
0.048256,0.0048256,2.80E-05,0.031462,0.009907965,572.2,76,1274,547.9342621,targetOne
0.002508,0.0002508,0,0.002214,0.000728538,1154.6,80,1274,377.5759526,targetOne
0.007173,0.0007173,0,0.002663,0.000785167,519.2,77,1292,572.1038756,targetOne
0.004258,0.0004258,0,0.00141,0.000517244,641,119,1292,470.8415633,targetOne
0.003091,0.0003091,0,0.001046,0.000407419,347.3,75,1274,490.3660877,targetOne
0.003076,0.0003076,0,0.001062,0.000435947,355.5,69,1274,493.0707071,targetOne
0.014002,0.0014002,3.40E-05,0.00789,0.002566304,298.7,67,1288,384.1932529,targetOne
0.01572,0.001572,7.80E-05,0.00705,0.002494149,359.1,67,1274,491.2054221,targetOne
0.000933,9.33E-05,0,0.000706,0.000231171,1274,1274,1274,0,targetOne
0.001225,0.0001225,0,0.000319,0.00012763,1034.4,76,1274,505.1211516,targetOne
0.001364,0.0001364,0,0.001188,0.000390535,1074.2,76,1274,431.5351923,targetOne
0.034241,0.0034241,5.70E-05,0.023723,0.007560014,526.6,75,1274,575.7204569,targetOne
0.009562,0.0009562,0,0.007402,0.002393304,1018.8,76,1274,498.3494535,targetOne
0.000832,8.32E-05,0,0.00054,0.000169276,1154.2,76,1274,378.8408637,targetOne
0.001826,0.0001826,0,0.001054,0.000349937,1034.4,76,1274,505.1211516,targetOne
0.001402,0.0001402,0,0.001306,0.0004325,1154.2,76,1274,378.8408637,targetOne
0.000278,2.78E-05,0,0.000164,5.60E-05,1274,1274,1274,0,targetOne
0.00112,0.000112,0,0.000919,0.000299346,1154.2,76,1274,378.8408637,targetOne
0.000569,5.69E-05,0,0.000499,0.000165048,1274,1274,1274,0,targetOne
0.001157,0.0001157,0,0.000595,0.000206928,855,76,1274,567.6886862,targetOne
0.001263,0.0001263,0,0.000616,0.000222289,1045.4,76,1274,482.6280371,targetOne
0.026112,0.0026112,1.10E-05,0.010852,0.004093565,121.8,67,410,108.0563639,targetOne
0.026028,0.0026028,0,0.012406,0.004279038,686.8,67,1274,619.8250291,targetOne
0.000546,5.46E-05,0,0.000246,0.000102251,1154.2,76,1274,378.8408637,targetOne
0.055868,0.0055868,0,0.030301,0.010440647,583.4,77,1292,601.2716524,targetOne
0.013756,0.0013756,0,0.007663,0.002590898,484.7,71,1292,495.3862803,targetOne
0.010252,0.0010252,0,0.0042,0.001510212,806.8,76,1292,625.5429286,targetOne
0,0,0,0,0,1149.2,404,1292,311.0690527,targetOne
0.000388,3.88E-05,0,0.000169,4.86E-05,318.4,75,1292,513.132255,targetOne
0.002088,0.0002088,0,0.001732,0.000563531,926.9,75,1292,587.86685,targetOne
0.053769,0.0053769,3.10E-05,0.026078,0.010761805,743.6,67,1292,585.1642125,targetOne
0.006019,0.0006019,0,0.004951,0.001616147,882.2,70,1274,546.8166055,targetOne
0.11213,0.011213,0,0.08038,0.026096065,679.7,68,1274,626.5803221,targetOne
0.00998,0.000998,0,0.007929,0.002618319,1041.4,77,1292,435.9569805,targetOne
0.024609,0.0024609,1.90E-05,0.01158,0.003813075,645.1,77,1292,586.7078489,targetOne
0.04571,0.004571,0,0.026579,0.009783522,407.9,71,1288,519.2356455,targetOne
0.083299,0.0083299,0,0.028202,0.011813962,241.6,68,1292,375.4177525,targetOne
0.044752,0.0044752,0,0.025594,0.008316722,245.1,70,1288,381.2166051,targetOne
0.000696,6.96E-05,0,0.000464,0.000151007,1076.2,200,1292,453.6902517,targetOne
0.000277,2.77E-05,0,4.40E-05,1.41E-05,1170.3,75,1292,384.8491912,targetOne
0.000233,2.33E-05,0,7.60E-05,2.86E-05,1170.3,75,1292,384.8491912,targetOne
0.004184,0.0004184,0,0.002685,0.000923163,958.4,75,1292,543.9457081,targetOne
0.053492,0.0053492,0,0.025302,0.009661979,489.7,68,1274,551.7433079,targetOne
0.000328,3.28E-05,0,0.000112,4.51E-05,1274,1274,1274,0,targetOne
0.001404,0.0001404,0,0.001106,0.00035895,1034.4,76,1274,505.1211516,targetOne
0.000366,3.66E-05,0,0.00021,8.18E-05,1200.4,538,1274,232.7436358,targetOne
0.009671,0.0009671,0,0.00289,0.00109976,253.4,68,1178,332.7685883,targetOne
0.003346,0.0003346,0,0.001409,0.000486462,788,76,1274,545.72602,targetOne
0.002493,0.0002493,0,0.001456,0.000474072,1151.1,77,1274,377.5342369,targetOne
0.011171,0.0011171,0,0.009065,0.002949134,669.8,77,1274,557.473826,targetOne
0.000549,5.49E-05,0,0.000437,0.000145784,1184.4,378,1274,283.3400784,targetOne
0.000521,5.21E-05,0,0.000226,8.13E-05,1074.2,76,1274,431.5351923,targetOne
0.000198,1.98E-05,-4.00E-06,9.50E-05,3.57E-05,1103,76,1274,395.1002686,targetOne
0.00162,0.000162,0,0.000822,0.000293745,1034.4,76,1274,505.1211516,targetOne
0.121099,0.0121099,0,0.119107,0.039621727,919.3,76,1274,571.255547,targetOne
0.00214,0.000214,0,0.001304,0.000423994,1154.3,77,1274,378.5246359,targetOne
0.00033,3.30E-05,0,0.00019,6.20E-05,1274,1274,1274,0,targetOne
0.000882,8.82E-05,0,0.000686,0.000221857,1048.6,76,1274,476.3621871,targetOne
0.027876,0.0027876,0,0.025103,0.008271453,836.9,76,1274,552.7958132,targetOne
0.29295,0.029295,5.10E-05,0.230537,0.074748473,90.6,66,215,46.85011562,targetOne
0.040992,0.0040992,6.20E-05,0.019336,0.006243547,276.8,54,1060,319.8443371,targetOne
0.113002,0.0113002,0.000205,0.040333,0.016192379,378.2,54,1292,453.6464115,targetOne
0.006216,0.0006216,0,0.003431,0.001099205,427.6,77,1274,488.9983413,targetOne
0.001492,0.0001492,0,0.000444,0.000170061,574.8,76,1274,563.6556869,targetOne
0.028345,0.0028345,1.70E-05,0.022072,0.007145277,224.9,67,1127,326.2618069,targetOne
0.022399,0.0022399,0,0.013145,0.004158157,460,67,1274,566.3308809,targetOne
0.012698,0.0012698,0,0.005294,0.002013814,922.7,77,1274,515.9487593,targetOne
0.000464,4.64E-05,0,0.000261,8.36E-05,915,76,1274,578.045942,targetOne
0.003779,0.0003779,0,0.003459,0.001140965,794.8,76,1274,618.6445398,targetOne
0.005519,0.0005519,0,0.003825,0.001288293,1034.4,76,1274,505.1211516,targetOne
0.000913,9.13E-05,0,0.000577,0.000185633,794.8,76,1274,618.6445398,targetOne
0.000129,1.29E-05,0,4.20E-05,1.68E-05,914.6,76,1274,578.6889781,targetOne
0.003129,0.0003129,0,0.00114,0.000472808,641.7,76,1274,601.5332354,targetOne
0.001988,0.0001988,0,0.000858,0.000336508,795.3,76,1274,618.0007282,targetOne
0.001552,0.0001552,0,0.001381,0.000456723,1154.2,76,1274,378.8408637,targetOne
0.000596,5.96E-05,0,0.000219,7.08E-05,675,76,1274,631.4014395,targetOne
